,city,cloudiness,country,humidity,lat,temp,wind
0,longyearbyen,40,sj,64,78.22,1.3999999999999773,2.6
1,andra,88,ru,81,62.52,17.583800000000053,2.85
2,hastings,75,gb,93,50.86,57.00200000000001,8.7
3,mabaruma,64,gy,70,8.2,82.47379999999993,3.9
4,miraflores,92,co,100,5.2,53.808800000000076,1.05
5,letlhakane,24,bw,25,-21.42,96.55880000000008,1.3
6,matay,0,eg,26,28.42,69.60200000000003,4.1
7,abong mbang,56,cm,62,3.98,82.02379999999988,0.5
8,pishin,92,pk,100,30.58,36.618799999999965,1.3
9,chapayevka,68,ua,62,47.47,30.813799999999958,6.15
10,banda aceh,80,id,86,5.56,79.23380000000003,1.6
11,hwange,24,zw,32,-18.35,94.08380000000005,2.05
12,lutin,90,cz,52,49.56,46.99400000000003,4.1
13,nuuk,75,gl,99,64.17,31.999999999999943,2.1
14,skibbereen,75,ie,93,51.55,51.799999999999955,14.4
15,conneaut,90,us,92,41.95,30.00200000000001,1.5
16,paamiut,0,gl,90,61.99,30.813799999999958,4.0
17,korop,0,ua,78,51.57,22.218799999999987,4.35
18,kruisfontein,56,za,70,-34.0,67.30880000000008,2.2
19,roatan,0,hn,78,16.32,80.59999999999997,8.2
20,sudbury,90,ca,85,46.49,19.003999999999962,3.6
21,pozo colorado,0,py,66,-23.49,91.60880000000003,3.1
22,tsumeb,12,na,25,-19.25,93.7688,3.9
23,bongouanou,92,ci,25,6.65,92.6438,1.95
24,ashtabula,90,us,92,41.87,30.19999999999999,1.5
25,banfora,0,bf,20,10.64,91.56379999999996,3.55
26,kiwira,44,tz,75,-9.17,71.98879999999991,1.25
27,sambava,68,mg,100,-14.27,81.66379999999998,5.6
28,belvedere marittimo,0,it,67,39.62,60.00799999999998,0.45
29,andenes,0,no,45,69.31,22.999999999999943,2.1
30,ballina,75,ie,87,54.11,49.99999999999994,10.3
31,elizabeth city,90,us,100,36.3,40.99999999999994,3.7
32,cape town,75,za,69,-33.93,75.99200000000002,4.1
33,abu dhabi,40,ae,45,24.47,67.99999999999994,7.7
34,port-cartier,5,ca,61,50.03,12.199999999999989,2.6
35,uga,12,ng,84,7.28,84.40879999999999,2.6
36,sao gabriel da cachoeira,64,br,84,-0.13,81.61880000000002,1.25
37,oschatz,75,de,86,51.3,44.99599999999998,3.1
38,vermilion,90,us,74,41.42,28.994000000000028,3.1
39,mtwara,75,tz,79,-10.28,85.99999999999994,5.1
40,gamba,56,ga,100,-2.72,81.1237999999999,0.9
41,mwinilunga,88,zm,100,-11.73,66.72379999999993,1.55
42,moose factory,90,ca,84,51.26,-2.2000000000000455,1.0
43,castlerea,75,ie,87,53.77,49.99999999999994,10.3
44,piney green,90,us,100,35.09,44.599999999999966,1.5
45,banamba,0,ml,20,13.55,86.70200000000006,3.45
46,rudbar,0,af,75,30.15,54.61880000000002,3.4
47,nalut,0,ly,64,31.86,62.85200000000003,5.1
48,anori,80,br,72,-3.74,85.8938,2.95
49,tera,0,ne,19,14.01,90.48380000000003,3.1
50,the valley,20,ai,61,18.22,82.00399999999996,7.7
51,albany,64,au,93,-35.02,57.19999999999999,2.6
52,bruck an der mur,75,at,66,47.41,53.995999999999924,1.5
53,tiznit,8,ma,80,29.7,65.68879999999996,2.55
54,vigrestad,75,no,93,58.57,40.99999999999994,7.2
55,ios,68,gr,63,36.73,62.995999999999924,4.6
56,bolama,0,gw,16,11.58,87.80000000000001,6.2
57,sept-iles,5,ca,61,50.2,12.199999999999989,2.6
58,kutum,0,sd,18,14.2,83.86880000000002,3.05
59,aripuana,44,br,70,-9.17,85.75880000000001,1.35
60,iracoubo,56,gf,61,5.48,83.68879999999996,3.1
61,belmonte,0,br,68,-26.84,84.81379999999996,2.2
62,orangeville,90,ca,73,43.92,28.994000000000028,1.5
63,talnakh,80,ru,83,69.49,15.28879999999998,7.25
64,dzaoudzi,40,yt,74,-12.79,87.80000000000001,5.7
65,alcantarilla,0,es,27,37.97,73.39999999999992,1.5
66,henties bay,0,na,78,-22.12,71.00600000000003,3.13
67,suslonger,20,ru,57,56.32,19.399999999999977,7.0
68,kristianstad,56,se,90,56.03,37.39999999999998,4.6
69,surgut,90,ru,85,61.25,24.799999999999955,5.0
70,pointe michel,75,dm,54,15.25,80.59999999999997,3.1
71,orel-izumrud,90,ru,75,43.46,42.799999999999955,2.0
72,abnub,0,eg,40,27.27,67.99999999999994,6.7
73,atar,0,mr,10,20.52,84.09379999999993,4.4
74,santa fe,20,cu,94,23.13,69.80000000000001,1.0
75,stromness,20,gb,87,58.97,48.00200000000001,5.7
76,newry,75,gb,93,54.18,48.99199999999996,7.7
77,la asuncion,12,ve,89,11.03,79.59379999999993,6.55
78,shu,68,kz,31,43.6,53.043799999999976,3.9
79,klaksvik,44,fo,75,62.23,44.599999999999966,3.6
80,reftinskiy,0,ru,74,57.09,30.19999999999999,6.0
81,skjervoy,24,no,100,70.03,21.588799999999935,3.2
82,lodja,24,cd,67,-3.52,85.03879999999998,2.05
83,margherita di savoia,20,it,67,41.37,58.99999999999994,6.2
84,mecca,0,sa,30,21.43,72.8888,4.85
85,santander,0,es,52,43.46,66.19999999999999,3.1
86,urbino,12,it,66,43.73,64.00399999999996,4.6
87,baghdad,20,iq,34,33.3,64.39999999999992,3.1
88,kavaratti,12,in,100,10.57,81.75200000000001,2.65
89,pisco,0,pe,30,-13.71,71.59999999999997,1.5
90,kalnibolotskaya,0,ru,92,46.01,33.99799999999999,5.55
91,ponta do sol,40,pt,68,32.67,66.19999999999999,5.1
92,porto novo,20,cv,53,17.02,76.99999999999994,11.3
93,mashhad,40,ir,54,36.3,53.599999999999966,3.1
94,vardo,0,no,66,70.37,13.999999999999943,7.7
95,jos,40,ng,28,9.92,85.99999999999994,1.5
96,dhidhdhoo,24,mv,100,6.88,83.23879999999991,3.35
97,ormara,0,pk,91,25.21,70.00880000000001,5.9
98,cangas,40,es,77,42.26,62.00600000000003,3.1
99,cayenne,88,gf,83,4.94,78.80000000000001,4.1
100,singarayakonda,0,in,76,15.25,78.69379999999995,3.3
101,casablanca,0,ma,56,33.6,69.80000000000001,3.1
102,shuyskoye,56,ru,82,59.37,14.208800000000053,3.95
103,pallasovka,88,ru,94,50.04,31.8938,6.9
104,cuamba,56,mz,92,-14.8,77.11880000000002,1.8
105,kayes,0,ml,20,14.44,89.85200000000003,3.9
106,solwezi,24,zm,61,-12.18,79.77379999999988,2.0
107,nouadhibou,0,mr,11,20.93,78.80000000000001,2.1
108,ndele,0,cf,23,8.41,98.31379999999996,4.2
109,hammerfest,80,no,67,70.66,21.19999999999999,5.7
110,saint-joseph,0,re,66,-21.37,87.80000000000001,3.6
111,macherla,8,in,63,16.48,79.81879999999995,4.15
112,kalengwa,80,zm,54,-13.47,83.6438,2.65
113,riga,90,lv,80,56.95,33.799999999999955,6.2
114,diamantina,32,br,81,-18.24,78.60200000000003,1.85
115,umm kaddadah,0,sd,9,13.6,87.5138,5.25
116,mayumba,36,ga,96,-3.44,81.75200000000001,3.2
117,dikson,12,ru,70,73.51,-5.816200000000038,4.35
118,kaniama,44,cd,82,-7.57,76.08380000000005,1.6
119,dzyhivka,0,ua,51,48.36,31.999999999999943,1.79
120,pangody,80,ru,75,65.85,17.763799999999947,5.3
121,warrington,90,us,92,40.25,33.99799999999999,2.65
122,mar del plata,24,ar,47,-46.43,67.53379999999999,5.45
123,cap malheureux,75,mu,70,-19.98,85.99999999999994,6.7
124,chongwe,12,zm,31,-15.33,86.3888,3.35
125,kisangani,20,cd,61,0.52,88.45880000000005,1.25
126,beloha,80,mg,80,-25.17,83.95880000000005,2.5
127,gibara,20,cu,88,21.11,73.39999999999992,1.0
128,ust-tsilma,24,ru,71,65.44,5.973799999999926,2.45
129,adrar,0,dz,17,27.87,75.19999999999999,3.6
130,melfi,0,td,18,11.06,101.28379999999999,4.35
131,cay,88,tr,52,38.59,45.57379999999989,1.65
132,dover,90,us,100,39.16,37.39999999999998,4.1
133,bandhi,40,pk,82,26.59,60.80000000000001,3.1
134,karak,92,pk,96,33.12,46.15880000000004,2.2
135,gap,0,fr,45,44.56,55.00399999999996,2.68
136,teguise,75,es,68,29.06,66.19999999999999,6.2
137,verkhneuralsk,90,ru,85,53.88,19.399999999999977,3.0
138,soyo,75,ao,78,-6.13,82.39999999999992,3.6
139,mannarakkat,75,in,74,10.98,89.59999999999997,4.1
140,arraial do cabo,40,br,78,-22.97,82.39999999999992,3.1
141,sainte-marie,64,re,66,-20.9,87.80000000000001,7.7
142,aleksandrovsk,80,ru,79,59.16,22.999999999999943,0.89
143,lucapa,56,ao,86,-8.42,74.91379999999998,1.95
144,luau,48,ao,75,-10.71,75.81379999999996,1.65
145,coihaique,75,cl,62,-45.58,53.599999999999966,1.0
146,talara,75,pe,290,-4.58,62.599999999999966,2.6
147,penzance,75,gb,93,50.12,55.99399999999997,11.8
148,kedougou,0,sn,17,12.56,92.41879999999998,3.45
149,misratah,0,ly,63,32.38,63.61880000000002,10.55
150,kelo,0,td,15,9.31,102.90199999999999,3.0
151,domat,0,ch,40,46.83,51.00799999999998,4.6
152,bonthe,0,sl,41,7.53,94.35200000000003,1.9
153,belyy yar,56,ru,80,53.6,30.19999999999999,1.0
154,tyukhtet,20,ru,66,56.54,11.958800000000053,1.15
155,carnarvon,48,au,73,-24.87,75.19999999999999,9.8
156,teeli,12,ru,69,51.01,4.668799999999976,1.0
157,bathsheba,75,bb,61,13.22,76.99999999999994,12.9
158,edremit,75,tr,35,38.43,39.19999999999999,3.6
159,berlevag,76,no,100,70.86,21.633800000000008,4.6
160,zaltan,0,ly,69,32.95,62.98879999999991,4.8
161,jamestown,44,sh,99,-15.94,77.34379999999993,6.8
162,south river,20,ca,45,47.54,28.003999999999962,15.4
163,oussouye,0,sn,55,12.49,81.75200000000001,3.4
164,mahebourg,75,mu,70,-20.41,85.99999999999994,6.7
165,narsaq,75,gl,29,60.91,37.39999999999998,13.4
166,hithadhoo,0,mv,100,-0.6,83.0138,6.35
167,elmira,90,us,86,42.09,33.00799999999998,1.15
168,salalah,20,om,74,17.01,82.39999999999992,3.6
169,puerto baquerizo moreno,0,ec,88,-0.9,76.99999999999994,1.5
170,puerto guzman,8,co,79,0.97,67.93879999999996,0.8
171,washington,90,us,93,38.9,35.99599999999998,3.6
172,rovaniemi,0,fi,61,66.5,15.799999999999955,8.7
173,santo antonio do sudoeste,0,br,42,-26.07,89.04379999999998,1.5
174,trairi,44,br,100,-3.28,78.46879999999993,1.9
175,alta floresta,75,br,78,-9.87,82.39999999999992,2.6
176,joshimath,76,in,92,30.57,14.838799999999935,0.5
177,kidal,0,ml,19,18.44,83.41879999999998,2.2
178,porangatu,20,br,97,-13.44,82.38380000000001,2.0
179,piacabucu,0,br,51,-10.41,91.60880000000003,5.2
180,sabattus,90,us,68,44.12,28.994000000000028,4.6
181,necochea,76,ar,60,-38.55,67.99999999999994,4.02
182,husavik,75,is,86,66.04,28.399999999999977,2.6
183,pemba,75,mz,74,-12.97,85.99999999999994,4.1
184,naryan-mar,56,ru,56,67.67,2.7338000000000306,4.85
185,otjiwarongo,56,na,76,-20.46,73.33879999999994,3.85
186,vilcun,75,cl,100,-38.65,57.99200000000002,1.45
187,praia da vitoria,75,pt,93,38.73,60.99799999999999,15.8
188,saldanha,24,za,61,-33.01,78.80000000000001,5.1
189,tucurui,12,br,76,-3.77,84.85880000000003,1.35
190,rosetta,20,eg,45,31.4,64.39999999999992,7.7
191,malumfashi,0,ng,20,11.79,93.00200000000001,4.75
192,murmashi,0,ru,77,68.82,3.1999999999999886,1.0
193,altamira,75,br,78,-3.2,80.59999999999997,1.0
194,tarko-sale,88,ru,87,64.92,17.99599999999998,7.35
195,kobryn,75,by,50,52.21,30.19999999999999,4.0
196,gurlan,90,uz,75,41.84,48.19999999999999,6.2
197,osakarovka,0,kz,87,50.56,29.508800000000008,5.75
198,ajdabiya,0,ly,39,30.75,66.18380000000008,8.45
199,polyarnyy,0,ru,77,69.2,3.1999999999999886,1.0
200,bad wildungen,90,de,75,51.12,48.00200000000001,4.6
201,dzhuryn,0,ua,51,49.03,35.599999999999966,5.0
202,luangwa,0,zm,40,-12.88,84.99380000000002,2.65
203,bardiyah,88,ly,73,31.76,64.5188,5.55
204,fernandopolis,92,br,99,-20.28,74.82379999999995,3.65
205,tucupita,68,ve,54,9.06,87.55880000000008,3.85
206,karla,0,ee,51,59.37,39.99199999999996,10.8
207,macapa,75,br,100,0.05,78.80000000000001,5.1
208,antofagasta,75,cl,73,-23.65,69.80000000000001,1.5
209,progreso,0,mx,69,20.25,59.34379999999993,1.6
210,wyszkow,20,pl,47,52.59,39.00200000000001,3.1
211,kharp,64,ru,58,66.82,-6.896199999999965,1.6
212,grindavik,40,is,86,63.84,39.19999999999999,2.6
213,careiro da varzea,0,br,78,-3.2,82.39999999999992,2.6
214,saint-pierre,75,pm,58,46.77,28.399999999999977,12.9
215,mocuba,68,mz,82,-16.84,81.93380000000008,1.8
216,belle glade,1,us,78,26.68,78.00799999999998,2.2
217,punta arenas,75,cl,87,-53.16,49.99999999999994,1.5
218,asilah,75,ma,67,35.47,69.80000000000001,5.1
219,hermanus,32,za,83,-34.42,73.99399999999997,1.79
220,marystown,36,ca,100,47.17,30.991999999999962,12.05
221,kortkeros,20,ru,66,61.81,15.799999999999955,1.65
222,korla,0,cn,71,41.76,22.668799999999976,0.9
223,lucea,20,jm,74,18.44,82.00399999999996,2.6
224,rodrigues alves,90,br,100,-7.74,75.19999999999999,1.55
225,najran,5,sa,12,17.54,84.19999999999999,4.1
226,altenholz,75,de,89,54.4,46.99400000000003,4.1
227,damaturu,0,ng,17,11.75,99.3938,3.7
228,quatre cocos,75,mu,70,-20.21,85.99999999999994,6.7
229,kashi,20,cn,19,39.45,44.599999999999966,1.0
230,yar-sale,64,ru,75,66.83,-3.6580000000000155,1.2
231,brufut,5,gm,15,13.38,87.80000000000001,8.2
232,constitucion,0,cl,80,-35.33,63.61880000000002,3.85
233,kathmandu,40,np,66,27.71,55.39999999999992,2.1
234,boende,0,cd,63,-0.28,85.6237999999999,1.95
235,aksarka,56,ru,61,66.56,-7.708000000000027,2.45
236,bahia blanca,0,ar,67,-38.72,70.00880000000001,2.7
237,bubaque,0,gw,68,11.28,86.79379999999998,4.5
238,shache,48,cn,97,38.42,33.99799999999999,1.3
239,kattivakkam,20,in,66,13.22,84.19999999999999,3.6
240,maceio,75,br,55,-9.67,85.99999999999994,2.6
241,krasnoarmeyskoye,75,ru,68,51.2,26.99599999999998,7.0
242,rio gallegos,75,ar,81,-51.62,53.599999999999966,1.5
243,victoria,40,sc,62,-4.62,89.59999999999997,2.6
244,ilebo,12,cd,62,-4.33,87.69379999999995,1.3
245,ashqelon,75,il,77,31.67,58.99999999999994,4.6
246,muros,40,es,71,42.77,60.00799999999998,5.1
247,urucara,56,br,76,-2.54,83.86880000000002,1.95
248,giyani,0,za,68,-23.32,87.0188,1.85
249,tegh,36,am,58,39.56,29.958800000000053,2.4
250,luderitz,0,na,72,-26.65,69.10880000000003,9.6
251,bertoua,20,cm,51,4.58,88.41379999999998,2.65
252,vila velha,40,br,74,-3.71,84.19999999999999,3.6
253,iquitos,75,pe,319,-3.75,42.799999999999955,2.1
254,madimba,75,tz,79,-10.4,85.99999999999994,5.1
255,marienburg,40,sr,65,5.88,82.99399999999997,2.1
256,nokaneng,24,bw,34,-19.66,96.06379999999996,3.1
257,muli,80,mv,100,2.92,82.96879999999993,4.65
258,log,56,ru,92,49.48,30.813799999999958,4.95
259,roscrea,88,ie,91,52.95,53.995999999999924,10.0
260,ilulissat,75,gl,79,69.22,21.19999999999999,6.7
261,diamantino,20,br,81,-14.4,83.50880000000001,2.2
262,abha,0,sa,37,18.22,73.39999999999992,6.7
263,nagua,20,do,94,19.37,76.99999999999994,2.65
264,vilhena,75,br,83,-12.74,76.99999999999994,3.6
265,mehamn,76,no,88,71.03,22.30880000000002,4.95
266,polovragi,68,ro,71,45.17,45.84379999999999,1.85
